bag,label_norm,vis_checker,vis_panel,vis_method,vis_rot_ok,vis_quality,nir_checker,nir_panel,nir_method,nir_rot_ok,nir_quality
2026-06-23-08-26-48.bag,calib_p01_low_center,True,True,mean4_norm_sb_exh_p9x6_guided_s1_norm,True,74.09889364242554,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,66.56988430023193
2026-06-23-08-30-20.bag,calib_p01_low_left,False,True,contrast_right_half,False,52786.30619223898,False,True,contrast_full,False,38128.266078769055
2026-06-23-08-39-46.bag,calib_p01_low_left_02,False,True,contrast_right_half,False,47926.31608112686,False,True,contrast_full,False,37738.12987797735
2026-06-23-08-43-50.bag,calib_p03_low_right,False,True,contrast_left_half,False,40292.50857797025,False,True,contrast_full,False,41229.631163572005
2026-06-23-08-49-49.bag,calib_p04_low_top,False,True,contrast_guided,False,22628.61987081829,False,True,contrast_guided,False,33749.878898980736
2026-06-23-08-51-56.bag,calib_p05_low_bottom,False,True,contrast_full,False,26080.918887680327,False,True,contrast_full,False,38316.211599424445
2026-06-23-08-54-31.bag,calib_p06_low_topleft,False,True,contrast_full,False,24072.373884477256,False,True,contrast_full,False,36224.725780000575
2026-06-23-08-56-12.bag,calib_p07_low_topright,False,True,contrast_guided,False,22297.121993347482,False,True,contrast_guided,False,32957.020446767056
2026-06-23-08-58-21.bag,calib_p08_low_bottomleft,False,True,contrast_top_half,False,38951.19370117791,False,True,contrast_top_half,False,39958.798437523845
2026-06-23-08-59-53.bag,calib_p09_low_bottomright,False,True,contrast_full,False,20295.649920003536,False,True,contrast_full,False,30748.427043168394
2026-06-23-09-02-50.bag,calib_p10_low_roll_plus,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,79.21963405609131,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,78.47981834411621
2026-06-23-09-04-17.bag,calib_p11_low_roll_minus,True,True,median4_norm_sb_exh_p8x5_guided_s1.25_norm,True,81.91398429870605,True,True,mean4_norm_sb_exh_p8x5_guided_s1.25_norm,True,82.61953449249268
2026-06-23-09-06-46.bag,calib_p12_low_tilt,True,True,mean4_norm_sb_exh_p9x6_guided_s1_norm,True,73.56480360031128,True,True,mean4_norm_classic_p9x5_guided_s1_norm,True,66.70915794372559
2026-06-23-09-10-36.bag,calib_p13_mid_center,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,83.48270511627197,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,83.41696119308472
2026-06-23-09-12-23.bag,calib_p14_mid_left,False,True,contrast_guided,False,34318.23233288565,True,True,mean4_clahe_sb_exh_p8x5_guided_s1.25_inv,True,84.10652160644531
2026-06-23-09-14-07.bag,calib_p15_mid_right,True,True,max4_norm_sb_exh_p8x5_guided_s1_inv,True,85.30852317810059,False,True,contrast_guided,False,42846.93227190834
2026-06-23-09-17-27.bag,calib_p16_mid_top,False,True,contrast_guided,False,33445.0282848842,False,True,contrast_guided,False,44163.046868045356
2026-06-23-09-19-08.bag,calib_p17_mid_bottom,False,True,contrast_full,False,34266.023072264026,False,True,contrast_full,False,39526.08370506529
2026-06-23-09-21-49.bag,calib_p18_mid_topleft,False,True,contrast_guided,False,28871.486824937227,False,True,contrast_guided,False,41107.32727141594
2026-06-23-09-23-06.bag,calib_p19_mid_topright,False,True,contrast_guided,False,30355.614132871266,False,True,contrast_guided,False,40580.204007333596
2026-06-23-09-24-53.bag,calib_p20_mid_bottomleft,False,True,contrast_full,False,27116.345827703775,False,True,contrast_full,False,41757.33366160259
2026-06-23-09-27-27.bag,calib_p21_mid_bottomright,False,True,contrast_guided,False,27446.638181844268,False,True,contrast_guided,False,39295.562312960166
2026-06-23-09-49-39.bag,calib_p22_mid_roll_plus,False,True,contrast_guided,False,43009.98004975155,False,True,contrast_guided,False,42226.98004975155
2026-06-23-09-51-00.bag,calib_p23_mid_roll_minus,False,True,contrast_guided,False,43390.98668144865,False,True,contrast_guided,False,41637.105572809
2026-06-23-09-55-04.bag,calib_p24_mid_tilt,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,84.38970708847046,True,True,mean4_norm_sb_exh_p9x5_guided_s1_norm,True,83.86499071121216
2026-06-23-10-00-18.bag,calib_p25_high_center,False,True,contrast_guided,False,37764.229217758846,False,True,contrast_guided,False,39250.12148395144
2026-06-23-10-02-00.bag,calib_p26_high_left,False,True,contrast_guided,False,33623.669050381366,False,True,contrast_guided,False,38459.55264503512
2026-06-23-10-03-25.bag,calib_p27_high_right,False,True,contrast_full,False,30915.22064304573,False,True,contrast_full,False,41193.08408424108
2026-06-23-10-05-51.bag,calib_p28_high_top,False,True,contrast_guided,False,34046.35951959909,False,True,contrast_guided,False,36814.197015091595
2026-06-23-10-08-32.bag,calib_p29_high_bottom,False,True,contrast_guided,False,36759.43431457505,False,True,contrast_guided,False,40840.0
2026-06-23-10-10-54.bag,calib_p30_high_topleft,False,True,contrast_guided,False,26167.460841862125,False,True,contrast_guided,False,33193.33055326013
2026-06-23-10-12-24.bag,calib_p31_high_topright,False,True,contrast_guided,False,26618.172541421845,False,True,contrast_guided,False,31002.308961294275
2026-06-23-10-14-20.bag,calib_p32_high_bottomleft,False,True,contrast_guided,False,30061.998974365717,False,True,contrast_guided,False,35326.79873418989
2026-06-23-10-16-16.bag,calib_p33_high_bottomright,False,True,contrast_guided,False,30838.598895036055,False,True,contrast_guided,False,36637.667989831905
2026-06-23-10-18-28.bag,calib_p34_high_roll_plus,False,True,contrast_guided,False,38976.43431457505,False,True,contrast_guided,False,39392.43431457505
2026-06-23-10-20-30.bag,calib_p35_high_roll_minus,False,True,contrast_guided,False,38986.43431457505,False,True,contrast_guided,False,38572.58751218325
2026-06-23-10-22-47.bag,calib_p36_high_tilt,True,True,mean4_norm_classic_p8x5_guided_s1.25_norm,True,108.29322910308838,False,True,contrast_guided,False,41087.43431457505
